person_age,person_gender,person_education,person_emp_exp,person_home_ownership,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status,person_income_log,loan_amnt_log
26.0,male,Bachelor,0,OWN,DEBTCONSOLIDATION,11.01,0.17,4.0,587,No,1,9.648917831534549,7.90100705199242
22.0,male,Master,0,RENT,EDUCATION,11.01,0.21,4.0,683,No,1,11.781822192518593,10.239959789157341
23.0,male,Associate,0,RENT,DEBTCONSOLIDATION,11.11,0.15,2.0,634,Yes,0,12.113496724231767,10.239959789157341
24.0,female,Bachelor,3,RENT,HOMEIMPROVEMENT,11.01,0.33,2.0,690,No,1,11.336820544786644,10.225571051705241
21.0,female,Bachelor,0,MORTGAGE,DEBTCONSOLIDATION,15.68,0.21,3.0,518,No,1,9.641733102094262,8.086410275323782
22.0,female,Bachelor,0,RENT,EDUCATION,13.06,0.32,3.0,583,No,1,11.353261280337485,10.221941283654663
22.0,male,Associate,2,OWN,PERSONAL,11.01,0.09,2.0,617,Yes,0,12.573860115998103,10.126631103850338
26.0,male,Associate,4,RENT,VENTURE,15.62,0.3,2.0,668,No,1,11.397222763916492,10.205442284274628
24.0,male,Master,2,RENT,PERSONAL,13.49,0.27,2.0,673,No,1,11.518002554710511,10.203592144986466
24.0,male,High School,3,RENT,VENTURE,11.01,0.3,3.0,706,No,1,11.395829693093981,10.203592144986466
23.0,female,High School,1,RENT,MEDICAL,11.71,0.34,2.0,536,No,1,11.237092908875598,10.165851817003619
23.0,male,Associate,0,RENT,EDUCATION,12.69,0.18,3.0,557,Yes,0,11.885123302962247,10.150347630467653
24.0,female,Bachelor,1,OWN,MEDICAL,13.57,0.1,3.0,689,Yes,0,9.675833845744032,7.3777589082278725
22.0,male,Bachelor,3,RENT,VENTURE,10.99,0.35,3.0,681,No,1,11.200007632450186,10.145452858090925
25.0,male,Master,4,MORTGAGE,MEDICAL,14.27,0.07,4.0,623,Yes,0,12.547891278953442,9.903487552536127
24.0,female,Associate,0,OWN,HOMEIMPROVEMENT,8.88,0.07,4.0,595,Yes,0,12.548864159110279,9.903487552536127
26.0,male,Bachelor,1,MORTGAGE,HOMEIMPROVEMENT,12.18,0.08,3.0,584,Yes,0,12.548924489115425,9.980448593672257
25.0,male,Bachelor,4,MORTGAGE,DEBTCONSOLIDATION,14.42,0.04,3.0,669,No,1,12.491589876402443,9.38429367909962
26.0,male,High School,3,MORTGAGE,MEDICAL,14.17,0.09,2.0,642,Yes,0,12.541344161574868,10.126631103850338
25.0,female,High School,4,MORTGAGE,MEDICAL,13.99,0.13,4.0,622,Yes,0,12.531834155127456,10.46310334047155
23.0,male,Associate,0,RENT,EDUCATION,10.99,0.25,3.0,689,No,1,11.520457031385575,10.138559674715612
22.0,male,High School,1,MORTGAGE,PERSONAL,5.42,0.12,4.0,614,No,1,9.693877015504503,7.600902459542082
25.0,female,Bachelor,2,OWN,PERSONAL,13.61,0.11,3.0,597,Yes,0,9.693445303141573,7.4673710669175595
21.0,female,Bachelor,3,RENT,EDUCATION,12.73,0.48,3.0,673,No,1,10.857497871437298,10.126631103850338
24.0,male,Associate,3,RENT,HOMEIMPROVEMENT,11.01,0.5,3.0,625,No,1,10.825939266523756,10.126631103850338
25.0,male,High School,0,OWN,DEBTCONSOLIDATION,12.87,0.18,4.0,603,No,1,9.703694249830134,8.006367567650246
24.0,male,Bachelor,0,MORTGAGE,HOMEIMPROVEMENT,9.91,0.22,3.0,589,No,1,9.715469803197292,8.202482446576537
26.0,male,Master,5,MORTGAGE,HOMEIMPROVEMENT,11.49,0.07,4.0,670,Yes,0,12.514296042962041,9.903487552536127
25.0,female,Bachelor,3,MORTGAGE,HOMEIMPROVEMENT,19.91,0.11,2.0,637,Yes,0,12.511068957690544,10.308952660644293
26.0,male,Associate,2,MORTGAGE,EDUCATION,10.65,0.14,2.0,643,No,1,12.456294254679488,10.46310334047155
24.0,male,High School,0,RENT,MEDICAL,11.01,0.02,4.0,508,Yes,0,12.511135296838404,8.699514748210191
24.0,male,High School,2,MORTGAGE,DEBTCONSOLIDATION,11.83,0.27,4.0,643,No,1,9.709295823171686,8.411832675758411
23.0,male,High School,0,OWN,DEBTCONSOLIDATION,13.49,0.14,2.0,505,No,1,9.71709773156622,7.783224016336037
22.0,male,Bachelor,0,RENT,MEDICAL,14.59,0.48,2.0,593,No,1,10.851431978212078,10.126631103850338
26.0,female,Master,6,RENT,EDUCATION,9.64,0.43,4.0,686,No,1,10.977055500097977,10.126631103850338
25.0,female,Associate,4,OWN,MEDICAL,14.59,0.22,3.0,646,No,1,9.704731689278749,8.1886891244442
22.0,female,Bachelor,0,OWN,EDUCATION,11.01,0.28,3.0,645,No,1,9.734477009801846,8.465899897028686
25.0,female,Associate,3,RENT,EDUCATION,16.35,0.48,3.0,697,No,1,10.854121738432738,10.126631103850338
21.0,male,High School,0,RENT,EDUCATION,10.99,0.42,2.0,648,No,1,10.999830601760195,10.126631103850338
25.0,male,Master,1,MORTGAGE,VENTURE,18.67,0.09,2.0,640,Yes,0,12.509770773490642,10.126631103850338
26.0,male,Bachelor,5,RENT,EDUCATION,9.32,0.01,4.0,681,No,0,12.509394279969635,8.006367567650246
23.0,female,Associate,0,RENT,DEBTCONSOLIDATION,8.63,0.03,2.0,646,No,0,12.508873599528254,8.922658299524402
26.0,male,Bachelor,4,MORTGAGE,VENTURE,10.08,0.09,2.0,615,Yes,0,12.509420122290868,10.126631103850338
22.0,male,Associate,0,RENT,PERSONAL,11.83,0.41,3.0,687,No,1,11.010415172807951,10.126631103850338
23.0,male,High School,1,RENT,DEBTCONSOLIDATION,7.9,0.41,3.0,650,No,1,11.014588202656597,10.126631103850338
25.0,male,Bachelor,0,RENT,HOMEIMPROVEMENT,5.99,0.41,2.0,588,No,1,11.01582192792268,10.126631103850338
24.0,male,Bachelor,2,RENT,DEBTCONSOLIDATION,15.33,0.46,2.0,652,No,1,10.893493322232564,10.126631103850338
23.0,male,High School,0,RENT,VENTURE,11.83,0.41,4.0,658,No,1,11.015361515187424,10.126631103850338
22.0,male,High School,0,RENT,VENTURE,10.36,0.41,2.0,634,No,1,11.01447297726738,10.126631103850338
22.0,female,High School,0,RENT,VENTURE,12.23,0.41,3.0,623,No,1,11.019104440020062,10.126631103850338
22.0,female,Associate,0,RENT,EDUCATION,11.11,0.4,4.0,635,No,1,11.054629038216078,10.126631103850338
23.0,female,Bachelor,0,OWN,DEBTCONSOLIDATION,7.9,0.29,4.0,531,No,1,9.749695141856147,8.507142855562735
24.0,female,Master,4,MORTGAGE,EDUCATION,11.58,0.09,2.0,665,Yes,0,12.487734130562686,10.126631103850338
23.0,male,Associate,2,MORTGAGE,DEBTCONSOLIDATION,8.9,0.08,3.0,703,No,0,12.46922506086362,9.95227771670556
25.0,female,Associate,5,MORTGAGE,EDUCATION,16.07,0.1,3.0,585,Yes,0,12.468571516322442,10.126631103850338
26.0,female,Bachelor,4,MORTGAGE,EDUCATION,14.22,0.08,2.0,594,No,0,12.470143145856722,9.903487552536127
23.0,male,Bachelor,0,MORTGAGE,MEDICAL,14.79,0.14,3.0,618,Yes,0,12.46450611762283,10.46310334047155
26.0,male,High School,2,MORTGAGE,EDUCATION,7.88,0.05,2.0,626,Yes,0,12.464896033101045,9.392661928770137
23.0,male,High School,0,RENT,PERSONAL,13.22,0.39,2.0,695,No,1,11.058747939670257,10.126631103850338
26.0,female,Doctorate,2,RENT,DEBTCONSOLIDATION,11.86,0.44,4.0,690,No,1,10.938893765300445,10.126631103850338
22.0,male,Bachelor,0,RENT,EDUCATION,13.43,0.39,4.0,574,No,1,11.07970882053122,10.126631103850338
26.0,female,High School,0,RENT,HOMEIMPROVEMENT,15.28,0.43,2.0,602,No,1,10.965712443751848,10.126631103850338
23.0,male,Associate,0,RENT,VENTURE,17.93,0.44,2.0,679,No,1,10.956369989498063,10.126631103850338
23.0,female,High School,2,MORTGAGE,EDUCATION,9.25,0.08,4.0,615,No,0,9.73601519859238,7.24422751560335
21.0,male,Master,0,OWN,VENTURE,12.98,0.27,4.0,601,No,1,9.721005982940808,8.411832675758411
22.0,male,Associate,0,MORTGAGE,VENTURE,10.62,0.06,4.0,577,Yes,0,12.440365808273034,9.680344001221918
26.0,female,Associate,3,OWN,PERSONAL,11.83,0.09,4.0,588,Yes,0,12.44138584536747,9.998797732340453
26.0,male,Bachelor,8,RENT,VENTURE,18.43,0.43,2.0,595,No,1,10.978524104675532,10.126631103850338
22.0,male,High School,2,RENT,EDUCATION,11.01,0.37,4.0,653,No,1,11.112626986813423,10.126631103850338
24.0,female,Master,3,RENT,HOMEIMPROVEMENT,11.01,0.38,4.0,663,No,1,11.107105293834648,10.126631103850338
23.0,male,Bachelor,0,RENT,EDUCATION,11.36,0.38,3.0,653,No,1,11.106444841400739,10.126631103850338
23.0,male,Associate,2,RENT,EDUCATION,15.65,0.37,3.0,598,No,1,11.115607081997833,10.126631103850338
24.0,female,High School,1,RENT,PERSONAL,13.22,0.37,4.0,630,No,1,11.111223268222592,10.126631103850338
26.0,male,Associate,2,RENT,DEBTCONSOLIDATION,12.87,0.37,2.0,637,No,1,11.128233101677333,10.126631103850338
24.0,male,Associate,1,OWN,MEDICAL,13.04,0.08,3.0,660,Yes,0,12.411235508808433,9.903487552536127
23.0,male,Associate,0,MORTGAGE,EDUCATION,17.58,0.1,3.0,639,No,1,12.341839662283752,9.998797732340453
23.0,male,High School,0,OWN,PERSONAL,17.04,0.43,4.0,626,No,1,9.7902628618215,8.955448122347393
24.0,female,Associate,3,RENT,PERSONAL,10.99,0.34,3.0,612,No,1,11.19283038757957,10.126631103850338
24.0,male,Bachelor,1,RENT,PERSONAL,11.11,0.34,3.0,628,No,1,11.199214220463611,10.126631103850338
26.0,female,Master,2,RENT,DEBTCONSOLIDATION,14.83,0.38,2.0,592,No,1,11.095590184291577,10.126631103850338
23.0,male,High School,1,OWN,DEBTCONSOLIDATION,11.01,0.23,3.0,580,No,1,9.784422445377189,8.294049640102028
24.0,male,Bachelor,3,RENT,MEDICAL,12.69,0.05,2.0,634,No,0,12.393298821657584,9.392661928770137
24.0,male,Associate,3,MORTGAGE,HOMEIMPROVEMENT,13.49,0.05,2.0,678,No,0,12.392112281692539,9.392661928770137
21.0,male,High School,0,MORTGAGE,EDUCATION,14.65,0.07,4.0,557,Yes,0,12.392469221477267,9.680344001221918
25.0,male,Bachelor,3,RENT,HOMEIMPROVEMENT,16.82,0.38,4.0,672,No,1,11.093493269633449,10.126631103850338
23.0,male,Bachelor,0,RENT,PERSONAL,12.73,0.34,3.0,613,No,1,11.194275464592142,10.126631103850338
23.0,male,High School,3,RENT,PERSONAL,10.25,0.34,4.0,566,No,1,11.193092032501362,10.126631103850338
21.0,male,Associate,0,RENT,EDUCATION,10.99,0.34,4.0,718,No,1,11.196061719154867,10.126631103850338
25.0,male,High School,4,RENT,MEDICAL,12.73,0.33,2.0,484,No,1,11.231940913966168,10.126631103850338
22.0,female,High School,0,RENT,HOMEIMPROVEMENT,14.96,0.36,3.0,634,No,1,11.139307800301184,10.126631103850338
23.0,female,Bachelor,2,MORTGAGE,EDUCATION,11.01,0.12,2.0,653,Yes,0,12.393244918554618,10.239959789157341
21.0,male,Bachelor,0,MORTGAGE,DEBTCONSOLIDATION,13.99,0.1,2.0,699,No,0,12.392801144142334,10.126631103850338
24.0,male,High School,0,MORTGAGE,VENTURE,7.49,0.1,4.0,656,Yes,0,12.391950371651895,10.085809109330082
26.0,male,High School,3,MORTGAGE,EDUCATION,14.79,0.06,3.0,626,Yes,0,12.392676686053436,9.615805480084347
25.0,male,High School,2,MORTGAGE,DEBTCONSOLIDATION,11.99,0.06,2.0,659,No,0,12.392116432887358,9.648595302907339
24.0,female,High School,4,RENT,EDUCATION,8.49,0.04,4.0,604,Yes,0,12.392270014982477,9.210340371976184
24.0,male,Associate,1,RENT,EDUCATION,9.91,0.31,2.0,636,No,1,11.291592773059982,10.126631103850338
22.0,male,Master,0,RENT,EDUCATION,13.06,0.31,3.0,554,No,1,11.293562259137364,10.126631103850338
22.0,male,High School,0,MORTGAGE,DEBTCONSOLIDATION,6.17,0.04,4.0,587,Yes,0,12.392751362765537,9.104979856318357
25.0,male,Bachelor,4,RENT,EDUCATION,16.32,0.07,3.0,708,Yes,0,12.392572959145545,9.798127036878302
25.0,female,Master,2,MORTGAGE,VENTURE,10.38,0.05,2.0,669,Yes,0,12.391589093220647,9.392661928770137
25.0,male,Associate,2,MORTGAGE,PERSONAL,14.35,0.1,3.0,578,No,0,12.393385889763556,10.045421048424794
24.0,male,Bachelor,5,MORTGAGE,DEBTCONSOLIDATION,11.01,0.08,3.0,615,No,0,12.392220207157658,9.903487552536127
24.0,female,Master,1,RENT,DEBTCONSOLIDATION,11.01,0.34,2.0,553,No,1,11.197104515039761,10.126631103850338
21.0,male,Master,0,OWN,HOMEIMPROVEMENT,11.01,0.17,4.0,635,No,1,9.798571382586568,8.006367567650246
26.0,female,Associate,3,RENT,PERSONAL,15.21,0.31,2.0,531,No,1,11.305138396976709,10.126631103850338
23.0,male,High School,1,RENT,EDUCATION,7.9,0.31,4.0,621,No,1,11.300573474734218,10.126631103850338
24.0,male,Bachelor,1,RENT,VENTURE,10.99,0.31,3.0,674,No,1,11.308812183937764,10.126631103850338
24.0,female,Associate,0,RENT,PERSONAL,14.09,0.3,3.0,688,No,1,11.323470525995061,10.126631103850338
25.0,female,High School,3,RENT,PERSONAL,17.49,0.3,2.0,597,No,1,11.3373928113354,10.126631103850338
25.0,male,Associate,1,MORTGAGE,EDUCATION,11.48,0.05,3.0,640,No,0,12.391377248614104,9.392661928770137
26.0,female,Associate,0,MORTGAGE,VENTURE,17.74,0.09,2.0,621,No,1,12.33157690676731,9.903487552536127
26.0,female,Bachelor,5,MORTGAGE,PERSONAL,13.92,0.01,3.0,608,Yes,0,12.393025129675465,8.006367567650246
25.0,male,Bachelor,3,RENT,EDUCATION,15.21,0.29,3.0,653,No,1,11.353742142614896,10.126631103850338
22.0,female,Bachelor,0,OWN,MEDICAL,10.99,0.22,3.0,585,No,1,9.806536026459678,8.294049640102028
24.0,female,High School,3,RENT,EDUCATION,11.86,0.29,4.0,569,No,1,11.34888773562083,10.126631103850338
24.0,male,Bachelor,2,OWN,PERSONAL,7.49,0.33,3.0,587,No,1,9.81432841621631,8.699514748210191
24.0,male,Bachelor,1,RENT,MEDICAL,16.49,0.37,4.0,631,No,1,11.127689363833744,10.126631103850338
25.0,female,High School,4,RENT,VENTURE,15.33,0.31,2.0,592,No,1,11.289794413577894,10.126631103850338
26.0,female,High School,6,RENT,HOMEIMPROVEMENT,11.58,0.31,4.0,679,No,1,11.288218191679835,10.126631103850338
25.0,male,High School,1,OWN,EDUCATION,5.79,0.29,2.0,645,No,1,9.822765447457765,8.589513852995864
25.0,male,Associate,0,RENT,MEDICAL,13.11,0.28,2.0,669,No,1,11.386829220145378,10.126631103850338
23.0,female,Bachelor,0,RENT,MEDICAL,10.36,0.28,3.0,653,No,1,11.408775327620063,10.126631103850338
25.0,male,Bachelor,1,RENT,DEBTCONSOLIDATION,10.36,0.27,2.0,577,No,1,11.41793323461462,10.126631103850338
24.0,male,High School,0,RENT,MEDICAL,11.01,0.1,2.0,668,Yes,0,12.35162215540583,9.998797732340453
21.0,male,Bachelor,0,MORTGAGE,VENTURE,6.54,0.09,4.0,629,No,0,12.35375530991405,9.903487552536127
25.0,female,Associate,4,MORTGAGE,MEDICAL,12.53,0.04,4.0,643,No,0,12.348075553326481,9.210340371976184
26.0,male,Bachelor,0,MORTGAGE,PERSONAL,11.01,0.07,3.0,626,No,0,12.344207177434456,9.615805480084347
22.0,male,Bachelor,0,MORTGAGE,VENTURE,11.01,0.04,3.0,560,Yes,0,12.341071086512823,9.210340371976184
24.0,male,Bachelor,0,RENT,EDUCATION,10.25,0.27,4.0,648,No,1,11.41793323461462,10.126631103850338
22.0,male,Associate,0,RENT,EDUCATION,15.95,0.29,4.0,648,No,1,11.365399460114608,10.126631103850338
26.0,male,Associate,3,MORTGAGE,VENTURE,12.18,0.09,4.0,669,Yes,0,12.340489895667043,9.903487552536127
23.0,male,High School,2,OWN,PERSONAL,11.83,0.1,3.0,536,Yes,0,12.341595179516386,10.085809109330082
23.0,male,High School,1,RENT,DEBTCONSOLIDATION,11.01,0.26,2.0,548,No,1,11.459408647755401,10.126631103850338
23.0,female,Master,0,RENT,VENTURE,10.62,0.26,3.0,667,No,1,11.45931369552158,10.126631103850338
23.0,male,High School,0,RENT,VENTURE,10.74,0.26,3.0,676,No,1,11.46476410306321,10.126631103850338
25.0,male,Associate,1,OWN,VENTURE,10.25,0.04,4.0,570,Yes,0,12.319151299581968,9.210340371976184
24.0,male,High School,0,MORTGAGE,EDUCATION,12.42,0.16,2.0,623,No,0,12.313261987864577,10.46310334047155
25.0,female,Bachelor,2,RENT,VENTURE,15.27,0.07,2.0,652,Yes,0,12.314805966878753,9.615805480084347
24.0,female,High School,1,RENT,MEDICAL,15.33,0.33,2.0,625,No,1,11.228438283414967,10.126631103850338
23.0,female,High School,1,RENT,VENTURE,15.21,0.26,2.0,642,No,1,11.47359194545455,10.126631103850338
21.0,male,Bachelor,0,OWN,VENTURE,14.72,0.35,2.0,580,No,1,9.801676286389442,8.740336742730447
24.0,male,Associate,2,RENT,PERSONAL,15.7,0.26,2.0,622,No,1,11.478613484252483,10.126631103850338
24.0,male,Bachelor,3,RENT,EDUCATION,13.35,0.26,4.0,581,No,1,11.47531705136322,10.126631103850338
21.0,female,High School,1,MORTGAGE,MEDICAL,11.01,0.08,4.0,623,No,0,9.821246597152218,7.313220387090301
